Date,Close,Open,High,Low,Volume,Change
1992年6月,"1,665.90","1,665.90","1,665.90","1,665.90",-,-2.27%
1992年7月,"1,633.30","1,633.30","1,633.30","1,633.30",-,-1.96%
1992年8月,"1,557.90","1,557.90","1,557.90","1,557.90",-,-4.62%
1992年9月,"1,487.90","1,487.90","1,487.90","1,487.90",-,-4.49%
1992年10月,"1,428.80","1,428.80","1,428.80","1,428.80",-,-3.97%
1992年11月,"1,456.40","1,456.40","1,456.40","1,456.40",-,1.93%
1992年12月,"1,564.70","1,564.70","1,564.70","1,564.70",-,7.44%
1993年1月,"1,536.50","1,536.50","1,536.50","1,536.50",-,-1.80%
1993年2月,"1,620.20","1,620.20","1,620.20","1,620.20",-,5.45%
1993年3月,"1,674.50","1,674.50","1,674.50","1,674.50",-,3.35%
1993年4月,"1,685.20","1,685.20","1,685.20","1,685.20",-,0.64%
1993年5月,"1,737.40","1,737.40","1,737.40","1,737.40",-,3.10%
1993年6月,"1,734.60","1,734.60","1,734.60","1,734.60",-,-0.16%
1993年7月,"1,837.10","1,837.10","1,837.10","1,837.10",-,5.91%
1993年8月,"1,961.60","1,961.60","1,961.60","1,961.60",-,6.78%
1993年9月,"1,919.80","1,919.80","1,919.80","1,919.80",-,-2.13%
1993年10月,"2,070.60","2,070.60","2,070.60","2,070.60",-,7.85%
1993年11月,"1,953.70","1,953.70","1,953.70","1,953.70",-,-5.65%
1993年12月,"2,113.60","2,113.60","2,113.60","2,113.60",-,8.18%
1994年1月,"2,244.40","2,244.40","2,244.40","2,244.40",-,6.19%
1994年2月,"2,112.00","2,112.00","2,112.00","2,112.00",-,-5.90%
1994年3月,"1,980.10","1,980.10","1,980.10","1,980.10",-,-6.25%
1994年4月,"2,004.20","2,004.20","2,004.20","2,004.20",-,1.22%
1994年5月,"2,021.20","2,021.20","2,021.20","2,021.20",-,0.85%
1994年6月,"1,931.10","1,931.10","1,931.10","1,931.10",-,-4.46%
1994年7月,"2,003.50","2,003.50","2,003.50","2,003.50",-,3.75%
1994年8月,"2,063.90","2,063.90","2,063.90","2,063.90",-,3.01%
1994年9月,"1,967.70","1,967.70","1,967.70","1,967.70",-,-4.66%
1994年10月,"1,980.90","1,980.90","1,980.90","1,980.90",-,0.67%
1994年11月,"1,833.80","1,833.80","1,833.80","1,833.80",-,-7.43%
1994年12月,"1,857.40","1,857.40","1,857.40","1,857.40",-,1.29%
1995年1月,"1,784.70","1,784.70","1,784.70","1,784.70",-,-3.91%
1995年2月,"1,881.10","1,881.10","1,881.10","1,881.10",-,5.40%
1995年3月,"1,867.10","1,867.10","1,867.10","1,867.10",-,-0.74%
1995年4月,"2,006.50","2,006.50","2,006.50","2,006.50",-,7.47%
1995年5月,"1,981.40","1,981.40","1,981.40","1,981.40",-,-1.25%
1995年6月,"1,981.00","1,981.00","1,981.00","1,981.00",-,-0.02%
1995年7月,"2,083.30","2,083.30","2,083.30","2,083.30",-,5.16%
1995年8月,"2,094.30","2,094.30","2,094.30","2,094.30",-,0.53%
1995年9月,"2,091.30","2,091.30","2,091.30","2,091.30",-,-0.14%
1995年10月,"2,029.70","2,029.70","2,029.70","2,029.70",-,-2.95%
1995年11月,"2,113.20","2,113.20","2,113.20","2,113.20",-,4.11%
1995年12月,"2,154.90","2,154.90","2,154.90","2,154.90",-,1.97%
1996年1月,"2,227.80","2,227.80","2,227.80","2,227.80",-,3.38%
1996年2月,"2,228.20","2,228.20","2,228.20","2,228.20",-,0.02%
1996年3月,"2,164.00","2,164.00","2,164.00","2,164.00",-,-2.88%
1996年4月,"2,248.70","2,248.70","2,248.70","2,248.70",-,3.91%
1996年5月,"2,198.00","2,198.00","2,198.00","2,198.00",-,-2.25%
1996年6月,"2,171.80","2,171.80","2,171.80","2,171.80",-,-1.19%
1996年7月,"2,114.10","2,114.10","2,114.10","2,114.10",-,-2.66%
1996年8月,"2,196.10","2,196.10","2,196.10","2,196.10",-,3.88%
1996年9月,"2,218.60","2,218.60","2,218.60","2,218.60",-,1.02%
1996年10月,"2,286.20","2,286.20","2,286.20","2,286.20",-,3.05%
1996年11月,"2,325.90","2,325.90","2,325.90","2,325.90",-,1.74%
1996年12月,"2,367.80","2,367.80","2,367.80","2,367.80",-,1.80%
1997年1月,"2,370.70","2,370.70","2,370.70","2,370.70",-,0.12%
1997年2月,"2,386.00","2,386.00","2,386.00","2,386.00",-,0.65%
1997年3月,"2,360.50","2,360.50","2,360.50","2,360.50",-,-1.07%
1997年4月,"2,424.10","2,424.10","2,424.10","2,424.10",-,2.69%
1997年5月,"2,544.90","2,544.90","2,544.90","2,544.90",-,4.98%
1997年6月,"2,664.70","2,664.70","2,664.70","2,664.70",-,4.71%
1997年7月,"2,673.70","2,673.70","2,673.70","2,673.70",-,0.34%
1997年8月,"2,526.80","2,526.80","2,526.80","2,526.80",-,-5.49%
1997年9月,"2,703.10","2,703.10","2,703.10","2,703.10",-,6.98%
1997年10月,"2,415.00","2,415.00","2,415.00","2,415.00",-,-10.66%
1997年11月,"2,424.10","2,424.10","2,424.10","2,424.10",-,0.38%
1997年12月,"2,567.40","2,567.40","2,567.40","2,567.40",-,5.91%
1998年1月,"2,600.80","2,600.80","2,600.80","2,600.80",-,1.30%
1998年2月,"2,626.90","2,626.90","2,626.90","2,626.90",-,1.00%
1998年3月,"2,686.00","2,686.00","2,686.00","2,686.00",-,2.25%
1998年4月,"2,709.00","2,709.00","2,709.00","2,709.00",-,0.86%
1998年5月,"2,655.30","2,655.30","2,655.30","2,655.30",-,-1.98%
1998年6月,"2,620.10","2,620.10","2,620.10","2,620.10",-,-1.33%
1998年7月,"2,661.30","2,661.30","2,661.30","2,661.30",-,1.57%
1998年8月,"2,430.10","2,430.10","2,430.10","2,430.10",-,-8.69%
1998年9月,"2,511.30","2,511.30","2,511.30","2,511.30",-,3.34%
1998年10月,"2,563.00","2,563.00","2,563.00","2,563.00",-,2.06%
1998年11月,"2,685.60","2,685.60","2,685.60","2,685.60",-,4.78%
1998年12月,"2,717.60","2,717.60","2,717.60","2,717.60",-,1.19%
1999年1月,"2,781.70","2,781.70","2,781.70","2,781.70",-,2.36%
1999年2月,"2,768.40","2,768.40","2,768.40","2,768.40",-,-0.48%
1999年3月,"2,867.00","2,867.00","2,867.00","2,867.00",-,3.56%
1999年4月,"3,027.80","3,027.80","3,027.80","3,027.80",-,5.61%
1999年5月,"2,831.90","2,831.90","2,831.90","2,831.90",-,-6.47%
1999年6月,"2,903.70","2,903.70","2,903.70","2,903.70",-,2.54%
1999年7月,"2,951.00","2,951.00","2,951.00","2,951.00",-,1.63%
1999年8月,"2,875.70","2,875.70","2,875.70","2,875.70",-,-2.55%
1999年9月,"2,817.00","2,817.00","2,817.00","2,817.00",-,-2.04%
1999年10月,"2,821.40","2,821.40","2,821.40","2,821.40",-,0.16%
1999年11月,"2,970.30","2,970.30","2,970.30","2,970.30",-,5.28%
1999年12月,"3,117.70","3,117.70","3,117.70","3,117.70",-,4.96%
2000年1月,"3,080.20","3,080.20","3,080.20","3,080.20",-,-1.20%
2000年2月,"3,124.60","3,124.60","3,124.60","3,124.60",-,1.44%
2000年3月,"3,133.30","3,133.30","3,133.30","3,133.30",-,0.28%
2000年4月,"3,115.80","3,133.30","3,201.40","2,902.10",-,-0.56%
2000年5月,"3,081.00","3,115.80","3,131.90","2,985.70",-,-1.12%
2000年6月,"3,311.20","3,081.00","3,313.80","3,067.10",-,7.47%
2000年7月,"3,251.10","3,311.20","3,337.40","3,227.30",-,-1.82%
2000年8月,"3,297.80","3,251.10","3,386.60","3,241.00",-,1.44%
2000年9月,"3,298.80","3,297.80","3,356.50","3,176.20",-,0.03%
2000年10月,"3,254.60","3,298.80","3,330.70","3,180.70",-,-1.34%
2000年11月,"3,274.60","3,254.60","3,381.00","3,254.60",-,0.61%
2000年12月,"3,206.20","3,274.60","3,348.80","3,171.70",-,-2.09%
2001年1月,"3,341.70","3,206.20","3,347.70","3,206.20",-,4.23%
2001年2月,"3,326.50","3,341.70","3,364.30","3,278.80",-,-0.45%
2001年3月,"3,147.20","3,326.50","3,370.20","3,138.40",-,-5.39%
2001年4月,"3,329.40","3,147.20","3,333.70","3,147.20",-,5.79%
2001年5月,"3,379.10","3,329.40","3,444.30","3,322.10",-,1.49%
2001年6月,"3,490.30","3,379.10","3,490.30","3,378.10",-,3.29%
2001年7月,"3,324.50","3,490.30","3,490.30","3,283.40",-,-4.75%
2001年8月,"3,275.60","3,324.50","3,424.80","3,275.60",-,-1.47%
2001年9月,"3,049.50","3,275.60","3,295.00","2,882.80",-,-6.90%
2001年10月,"3,249.60","3,049.50","3,285.90","3,049.50",-,6.56%
2001年11月,"3,337.40","3,249.60","3,370.50","3,222.40",-,2.70%
2001年12月,"3,422.30","3,337.50","3,440.60","3,288.40",-,2.54%
2002年1月,"3,464.20","3,422.30","3,468.90","3,377.30",-,1.22%
2002年2月,"3,414.30","3,464.20","3,506.10","3,402.50",-,-1.44%
2002年3月,"3,414.80","3,414.30","3,499.90","3,382.10",-,0.01%
2002年4月,"3,350.00","3,414.80","3,424.60","3,337.50",-,-1.90%
