Date,Close,Open,High,Low,Volume,Change
1982年2月,0.00,0.00,0.00,0.00,2.48B,0.00%
1982年3月,0.00,0.00,0.00,0.00,3.66B,0.00%
1982年4月,0.00,0.00,0.00,0.00,2.17B,0.00%
1982年5月,0.00,0.00,0.00,0.00,3.68B,0.00%
1982年6月,0.00,0.00,0.00,0.00,3.65B,0.00%
1982年7月,0.00,0.00,0.00,0.00,2.75B,0.00%
1982年8月,0.00,0.00,0.00,0.00,4.11B,0.00%
1982年9月,0.00,0.00,0.00,0.00,3.20B,0.00%
1982年10月,0.00,0.00,0.00,0.00,2.83B,0.00%
1982年11月,0.00,0.00,0.00,0.00,2.77B,0.00%
1982年12月,0.00,0.00,0.00,0.00,3.27B,0.00%
1983年1月,0.00,0.00,0.00,0.00,4.84B,0.00%
1983年2月,0.00,0.00,0.00,0.00,5.65B,0.00%
1983年3月,0.00,0.00,0.00,0.00,5.70B,0.00%
1983年4月,0.00,0.00,0.00,0.00,5.91B,0.00%
1983年5月,0.00,0.00,0.00,0.00,5.24B,0.00%
1983年6月,0.00,0.00,0.00,0.00,7.24B,0.00%
1983年7月,0.00,0.00,0.00,0.00,5.77B,0.00%
1983年8月,0.00,0.00,0.00,0.00,8.81B,0.00%
1983年9月,0.00,0.00,0.00,0.00,12.82B,0.00%
1983年10月,0.00,0.00,0.00,0.00,14.35B,0.00%
1983年11月,0.00,0.00,0.00,0.00,11.27B,0.00%
1983年12月,0.00,0.00,0.00,0.00,13.48B,0.00%
1984年1月,0.00,0.00,0.00,0.00,12.39B,0.00%
1984年2月,0.00,0.00,0.00,0.00,12.65B,0.00%
1984年3月,0.00,0.00,0.00,0.00,10.34B,0.00%
1984年4月,0.00,0.00,0.00,0.00,9.30B,0.00%
1984年5月,0.00,0.00,0.00,0.00,9.91B,0.00%
1984年6月,0.00,0.00,0.00,0.00,8.59B,0.00%
1984年7月,0.00,0.00,0.00,0.00,12.09B,0.00%
1984年8月,0.00,0.00,0.00,0.00,13.73B,0.00%
1984年9月,0.00,0.00,0.00,0.00,8.99B,0.00%
1984年10月,0.00,0.00,0.00,0.00,12.81B,0.00%
1984年11月,0.00,0.00,0.00,0.00,9.65B,0.00%
1984年12月,0.00,0.00,0.00,0.00,9.40B,0.00%
1985年1月,0.00,0.00,0.00,0.00,11.94B,0.00%
1985年2月,0.00,0.00,0.00,0.00,10.09B,0.00%
1985年3月,0.00,0.00,0.00,0.00,10.35B,0.00%
1985年4月,0.00,0.00,0.00,0.00,11.17B,0.00%
1985年5月,0.00,0.00,0.00,0.00,11.05B,0.00%
1985年6月,0.00,0.00,0.00,0.00,10.40B,0.00%
1985年7月,0.00,0.00,0.00,0.00,11.72B,0.00%
1985年8月,0.00,0.00,0.00,0.00,9.71B,0.00%
1985年9月,0.00,0.00,0.00,0.00,7.58B,0.00%
1985年10月,0.00,0.00,0.00,0.00,20.11B,0.00%
1985年11月,0.00,0.00,0.00,0.00,161.83B,0.00%
1985年12月,0.00,0.00,0.00,0.00,120.32B,0.00%
1986年1月,0.00,0.00,0.00,0.00,137.78B,0.00%
1986年2月,0.00,0.00,0.00,0.00,157.43B,0.00%
1986年3月,0.00,0.00,0.00,0.00,352.56B,0.00%
1986年4月,0.00,0.00,0.00,0.00,421.36B,0.00%
1986年5月,0.00,0.00,0.00,0.00,304.31B,0.00%
1986年6月,0.00,0.00,0.00,0.00,332.56B,0.00%
1986年7月,0.00,0.00,0.00,0.00,366.85B,0.00%
1986年8月,0.00,0.00,0.00,0.00,354.57B,0.00%
1986年9月,0.00,0.00,0.00,0.00,338.25B,0.00%
1986年10月,0.00,0.00,0.00,0.00,412.61B,0.00%
1986年11月,0.00,0.00,0.00,0.00,302.57B,0.00%
1986年12月,0.00,0.00,0.00,0.00,295.90B,0.00%
1987年1月,0.00,0.00,0.00,0.00,257.83B,0.00%
1987年2月,0.00,0.00,0.00,0.00,379.06B,0.00%
1987年3月,0.00,0.00,0.00,0.00,241.55B,0.00%
1987年4月,0.00,0.00,0.00,0.00,459.55B,0.00%
1987年5月,0.00,0.00,0.00,0.00,411.75B,0.00%
1987年6月,0.00,0.00,0.00,0.00,903.21M,0.00%
1987年7月,0.00,0.00,0.00,0.00,968.94M,0.00%
1987年8月,0.00,0.00,0.00,0.00,1.05B,0.00%
1987年9月,0.00,0.00,0.00,0.00,908.08M,0.00%
1987年10月,0.00,0.00,0.00,0.00,1.18B,0.00%
1987年11月,0.00,0.00,0.00,0.00,716.42M,0.00%
1987年12月,0.00,0.00,0.00,0.00,804.28M,0.00%
1988年1月,0.00,0.00,0.00,0.00,973.07M,0.00%
1988年2月,0.00,0.00,0.00,0.00,1.37B,0.00%
1988年3月,0.00,0.00,0.00,0.00,1.79B,0.00%
1988年4月,0.00,0.00,0.00,0.00,1.93B,0.00%
1988年5月,0.00,0.00,0.00,0.00,1.98B,0.00%
1988年6月,0.00,0.00,0.00,0.00,2.26B,0.00%
1988年7月,0.00,0.00,0.00,0.00,1.79B,0.00%
1988年8月,0.00,0.00,0.00,0.00,2.30B,0.00%
1988年9月,0.00,0.00,0.00,0.00,2.57B,0.00%
1988年10月,0.00,0.00,0.00,0.00,2.42B,0.00%
1988年11月,0.00,0.00,0.00,0.00,2.67B,0.00%
1988年12月,0.00,0.00,0.00,0.00,3.03B,0.00%
1989年1月,0.00,0.00,0.00,0.00,2.34B,0.00%
1989年2月,0.00,0.00,0.00,0.00,2.76B,0.00%
1989年3月,0.00,0.00,0.00,0.00,4.20B,0.00%
1989年4月,0.00,0.00,0.00,0.00,7.93B,0.00%
1989年5月,0.00,0.00,0.00,0.00,9.67B,0.00%
1989年6月,0.00,0.00,0.00,0.00,9.65B,0.00%
1989年7月,0.00,0.00,0.00,0.00,11.79B,0.00%
1989年8月,0.00,0.00,0.00,0.00,12.47B,0.00%
1989年9月,0.00,0.00,0.00,0.00,13.29B,0.00%
1989年10月,0.00,0.00,0.00,0.00,17.77B,0.00%
1989年11月,0.00,0.00,0.00,0.00,13.77B,0.00%
1989年12月,0.01,0.01,0.01,0.01,19.89B,0.00%
1990年1月,0.01,0.01,0.01,0.01,15.85B,0.00%
1990年2月,0.02,0.01,0.02,0.01,15.88B,100.00%
1990年3月,0.01,0.02,0.02,0.01,8.84B,-50.00%
1990年4月,0.02,0.01,0.02,0.01,7.86B,100.00%
1990年5月,0.01,0.02,0.02,0.01,12.58B,-50.00%
1990年6月,0.02,0.01,0.02,0.01,14.67B,100.00%
1990年7月,0.03,0.02,0.03,0.02,29.89B,50.00%
1990年8月,0.03,0.03,0.03,0.03,29.48B,0.00%
1990年9月,0.02,0.03,0.02,0.02,14.51B,-33.33%
1990年10月,0.02,0.02,0.02,0.02,10.73B,0.00%
1990年11月,0.03,0.02,0.03,0.02,16.31B,50.00%
1990年12月,0.03,0.03,0.03,0.02,12.46B,0.00%
1991年1月,0.05,0.03,0.04,0.03,33.20B,66.67%
1991年2月,0.07,0.05,0.07,0.06,48.17B,40.00%
1991年3月,0.06,0.07,0.07,0.06,31.22B,-14.29%
1991年4月,0.07,0.06,0.07,0.07,21.37B,16.67%
1991年5月,0.11,0.07,0.10,0.07,43.01B,57.14%
1991年6月,0.14,0.11,0.14,0.11,63.32B,27.27%
1991年7月,0.18,0.14,0.17,0.13,46.75B,28.57%
1991年8月,0.21,0.18,0.21,0.17,69.68B,16.67%
1991年9月,0.24,0.21,0.27,0.22,40.39B,14.29%
1991年10月,0.32,0.24,0.33,0.26,44.20B,33.33%
1991年11月,0.32,0.32,0.34,0.30,31.57B,0.00%
1991年12月,0.61,0.32,0.58,0.32,108.24B,90.63%
1992年1月,1.12,0.61,1.13,0.69,"1,056.20B",83.61%
1992年2月,1.45,1.12,1.40,1.04,482.06B,29.46%
1992年3月,1.76,1.46,1.64,1.50,294.83B,21.38%
1992年4月,2.26,1.76,2.37,1.82,685.88B,28.41%
1992年5月,2.59,2.26,2.70,2.26,"2,488.59B",14.60%
1992年6月,2.01,2.59,2.73,2.03,"1,887.16B",-22.39%
1992年7月,2.68,2.04,2.89,2.09,776.02B,33.33%
1992年8月,3.27,2.66,3.30,2.55,42.25B,22.01%
1992年9月,4.45,3.26,4.40,3.20,45.52B,36.09%
1992年10月,4.62,4.45,4.58,3.69,49.10B,3.82%
1992年11月,4.57,4.62,4.68,3.73,45.00B,-1.08%
1992年12月,6.78,4.57,7.05,4.45,57.84B,48.36%
1993年1月,9.29,6.78,9.75,6.78,104.72B,37.02%
1993年2月,14.04,9.29,14.57,8.71,124.56B,51.13%
1993年3月,19.18,14.04,19.37,12.60,208.65B,36.61%
1993年4月,24.08,19.18,25.36,17.78,112.60B,25.55%
1993年5月,34.89,24.08,35.65,23.83,225.54B,44.89%
1993年6月,53.75,35.37,54.79,35.37,291.95B,54.06%
1993年7月,65.58,53.75,67.36,51.72,200.09B,22.01%
1993年8月,96.43,65.58,100.08,60.64,341.53B,47.04%
1993年9月,146.61,96.43,150.30,96.43,352.14B,52.04%
1993年10月,184.36,146.60,206.96,146.56,341.69B,25.75%
1993年11月,274.03,184.36,287.01,184.36,247.81B,48.64%
1993年12月,375.45,274.03,378.58,266.81,221.74B,37.01%
1994年1月,740.56,375.45,741.72,373.43,371.22B,97.25%
1994年2月,"1,053.90",740.56,"1,116.00",740.56,278.07B,42.31%
1994年3月,"1,515.60","1,053.90","1,542.20","1,013.80",289.95B,43.81%
1994年4月,"1,708.40","1,515.60","1,732.60","1,280.20",180.45B,12.72%
1994年5月,"2,467.20","1,708.40","2,516.90","1,325.50",148.50B,44.42%
1994年6月,"3,623.20","2,467.20","3,885.70","2,437.10",128.57B,46.85%
1994年7月,"4,201.30","3,623.20","4,272.80","3,486.00",124.34B,15.96%
1994年8月,"5,329.50","4,201.30","5,443.30","4,091.10",188.57B,26.85%
1994年9月,"5,484.00","5,329.50","5,637.70","4,792.50",235.50B,2.90%
1994年10月,"4,797.90","5,484.00","5,528.30","4,283.70",177.27B,-12.51%
1994年11月,"4,656.00","4,744.90","5,086.20","4,219.20",140.91B,-2.96%
1994年12月,"4,353.90","4,656.00","5,023.40","3,990.80",213.19B,-6.49%
1995年1月,"3,885.00","4,353.90","4,397.60","3,108.60",195.74B,-10.77%
1995年2月,"3,270.90","3,885.00","4,067.20","2,762.00",179.37B,-15.81%
1995年3月,"2,979.00","3,270.90","3,494.90","2,110.00",242.62B,-8.92%
1995年4月,"3,813.70","2,979.00","3,923.60","2,867.10",210.99B,28.02%
1995年5月,"3,720.60","3,813.70","4,185.10","3,688.90",234.26B,-2.44%
1995年6月,"3,603.40","3,720.60","4,067.30","3,516.00",248.84B,-3.15%
1995年7月,"3,877.50","3,603.40","4,079.50","3,574.40",199.84B,7.61%
1995年8月,"4,310.50","3,877.50","4,554.60","3,817.70",248.60B,11.17%
1995年9月,"4,670.10","4,310.50","4,885.10","4,310.50",240.46B,8.34%
1995年10月,"4,128.40","4,670.10","4,684.90","3,922.70",216.34B,-11.60%
1995年11月,"4,378.60","4,128.40","4,390.70","3,713.70",198.83B,6.06%
1995年12月,"4,299.00","4,378.60","4,397.30","3,957.60",195.90B,-1.82%
1996年1月,"5,151.50","4,299.00","5,171.60","4,299.00",290.70B,19.83%
1996年2月,"4,957.70","5,151.50","5,410.90","4,939.60",235.54B,-3.76%
1996年3月,"4,954.90","4,957.70","5,224.40","4,595.60",290.73B,-0.06%
