Date,Close,Open,High,Low,Volume,Change
1985年2月,"1,284.01","1,276.94","1,307.53","1,263.91",11.37M,-0.21%
1985年3月,"1,266.78","1,285.34","1,309.96","1,242.82",10.04M,-1.34%
1985年4月,"1,258.06","1,264.80","1,290.30","1,245.80",9.50M,-0.69%
1985年5月,"1,315.41","1,257.18","1,320.79","1,235.53",11.57M,4.56%
1985年6月,"1,335.46","1,321.24","1,341.17","1,285.39",10.72M,1.52%
1985年7月,"1,347.45","1,334.01","1,372.20","1,313.40",11.17M,0.90%
1985年8月,"1,334.01","1,350.02","1,361.90","1,303.65",8.41M,-1.00%
1985年9月,"1,328.63","1,333.67","1,348.23","1,283.71",11.00M,-0.40%
1985年10月,"1,374.31","1,329.64","1,384.63","1,315.19",11.58M,3.44%
1985年11月,"1,472.13","1,372.13","1,486.93","1,367.78",15.73M,7.12%
1985年12月,"1,546.67","1,471.33","1,570.87","1,450.34",17.88M,5.06%
1986年1月,"1,570.99","1,546.22","1,582.91","1,491.74",14.95M,1.57%
1986年2月,"1,709.06","1,570.53","1,732.57","1,564.33",18.84M,8.79%
1986年3月,"1,818.61","1,706.19","1,849.74","1,663.07",18.53M,6.41%
1986年4月,"1,783.98","1,822.08","1,870.16","1,712.52",20.84M,-1.90%
1986年5月,"1,876.71","1,777.90","1,898.22","1,746.53",15.04M,5.20%
1986年6月,"1,892.72","1,874.19","1,908.62","1,816.07",13.20M,0.85%
1986年7月,"1,775.31","1,889.76","1,922.67","1,741.56",16.18M,-6.20%
1986年8月,"1,898.34","1,775.31","1,918.59","1,730.60",14.64M,6.93%
1986年9月,"1,767.58","1,903.26","1,933.35","1,732.99",19.89M,-6.89%
1986年10月,"1,877.71","1,775.03","1,894.69","1,761.25",18.18M,6.23%
1986年11月,"1,914.23","1,880.62","1,926.46","1,797.10",19.65M,1.94%
1986年12月,"1,895.95","1,900.17","1,971.74","1,880.48",19.01M,-0.95%
1987年1月,"2,158.04","1,900.59","2,214.57","1,897.36",26.85M,13.82%
1987年2月,"2,223.99","2,152.98","2,266.45","2,134.42",106.40K,3.06%
1987年3月,"2,304.69","2,228.21","2,399.57","2,209.08",20.89M,3.63%
1987年4月,"2,286.36","2,277.13","2,428.41","2,180.54",28.08M,-0.80%
1987年5月,"2,291.57","2,282.24","2,380.77","2,188.53",24.63M,0.23%
1987年6月,"2,418.53","2,309.62","2,466.04","2,260.62",20.20M,5.54%
1987年7月,"2,572.07","2,410.08","2,588.33","2,391.26",23.26M,6.35%
1987年8月,"2,662.95","2,547.83","2,746.65","2,525.99",25.00M,3.53%
1987年9月,"2,596.28","2,666.77","2,695.47","2,468.99",23.27M,-2.50%
1987年10月,"1,993.53","2,601.50","2,662.37","1,616.21",39.50M,-23.22%
1987年11月,"1,833.55","1,972.65","2,027.52","1,795.26",23.36M,-8.02%
1987年12月,"1,938.83","1,860.25","2,019.56","1,733.92",21.48M,5.74%
1988年1月,"1,958.22","1,952.59","2,075.27","1,845.99",22.82M,1.00%
1988年2月,"2,071.62","1,972.81","2,078.08","1,878.15",24.22M,5.79%
1988年3月,"1,988.06","2,074.93","2,110.91","1,951.26",19.56M,-4.03%
1988年4月,"2,032.33","1,989.89","2,121.35","1,968.00",21.53M,2.23%
1988年5月,"2,031.12","2,032.16","2,071.95","1,921.58",20.30M,-0.06%
1988年6月,"2,141.71","2,029.34","2,169.10","2,021.34",23.21M,5.44%
1988年7月,"2,128.73","2,144.91","2,169.45","2,047.30",17.20M,-0.61%
1988年8月,"2,031.65","2,126.24","2,151.85","1,978.66",16.49M,-4.56%
1988年9月,"2,112.91","2,023.11","2,140.29","1,988.44",16.73M,4.00%
1988年10月,"2,148.65","2,110.77","2,195.06","2,082.33",19.39M,1.69%
1988年11月,"2,114.51","2,145.09","2,185.99","2,026.67",16.56M,-1.59%
1988年12月,"2,168.57","2,110.95","2,193.75","2,075.39",14.93M,2.56%
1989年1月,"2,342.32","2,163.21","2,350.18","2,127.14",22.18M,8.01%
