Date,Close,Open,High,Low,Volume,Change
1997年10月,86.46,101.21,115.03,78.91,-,-13.68%
1997年11月,67.94,89.34,89.34,67.42,-,-21.42%
1997年12月,85.05,66.66,85.05,66.66,-,25.18%
1998年1月,62.21,88.97,88.97,57.95,-,-26.85%
1998年2月,73.38,67.39,73.76,64.10,-,17.96%
1998年3月,76.35,75.16,82.91,75.16,-,4.05%
1998年4月,75.66,75.42,79.96,72.69,-,-0.90%
1998年5月,46.01,78.09,78.09,43.80,-,-39.19%
1998年6月,35.89,40.95,51.58,35.89,-,-22.00%
1998年7月,37.46,35.82,49.51,31.79,-,4.37%
1998年8月,20.92,35.14,35.14,19.36,-,-44.15%
1998年9月,27.02,21.02,40.76,21.02,-,29.16%
1998年10月,32.94,23.39,33.91,18.53,-,21.91%
1998年11月,50.41,34.19,51.70,34.19,-,53.04%
1998年12月,45.34,47.86,49.04,44.40,-,-10.06%
1999年1月,44.51,45.60,49.72,42.33,-,-1.83%
1999年2月,62.44,44.73,70.36,44.73,-,40.28%
1999年3月,86.56,66.66,92.37,65.32,-,38.63%
1999年4月,96.60,87.40,96.60,76.29,-,11.60%
1999年5月,107.87,105.99,114.19,90.98,-,11.67%
1999年6月,131.64,108.46,134.93,105.27,-,22.04%
1999年7月,114.88,136.08,150.34,114.88,-,-12.73%
1999年8月,100.72,114.39,119.16,98.87,-,-12.33%
1999年9月,87.13,104.91,110.72,83.33,-,-13.49%
1999年10月,106.86,88.74,106.86,88.74,-,22.64%
1999年11月,120.76,102.64,128.58,102.64,-,13.01%
1999年12月,151.87,119.71,161.78,116.24,-,25.76%
2000年1月,188.81,173.00,219.73,173.00,-,24.32%
2000年2月,191.49,191.59,216.53,186.67,-,1.42%
2000年3月,254.68,198.99,277.82,198.99,-,33.00%
2000年4月,242.85,257.30,258.02,225.28,-,-4.65%
2000年5月,217.05,244.88,254.45,190.54,-,-10.62%
2000年6月,194.93,221.10,233.28,189.57,-,-10.19%
2000年7月,200.22,199.13,200.22,188.37,-,2.71%
2000年8月,239.03,209.47,245.37,209.47,-,19.38%
