Date,Close,Open,High,Low,Volume,Change
1970年2月,89.50,85.02,90.33,84.64,-,5.27%
1970年3月,89.63,89.50,91.07,86.19,-,0.15%
1970年4月,81.52,89.63,90.70,79.31,-,-9.05%
1970年5月,76.55,81.52,82.32,68.61,-,-6.10%
1970年6月,72.72,76.55,79.96,72.25,-,-5.00%
1970年7月,78.05,78.07,79.03,70.69,-,7.33%
1970年8月,81.52,78.05,82.47,74.13,-,4.45%
1970年9月,84.30,81.52,84.99,79.95,-,3.41%
1970年10月,83.25,84.30,87.75,82.29,-,-1.25%
1970年11月,87.20,83.25,87.60,82.23,-,4.74%
1970年12月,92.15,87.20,92.99,86.11,-,5.68%
1971年1月,95.88,92.15,96.49,90.64,-,4.05%
1971年2月,96.75,95.88,99.59,94.92,-,0.91%
1971年3月,100.31,96.75,102.03,96.11,-,3.68%
1971年4月,103.95,100.31,105.60,99.63,-,3.63%
1971年5月,99.63,103.95,104.42,98.68,-,-4.16%
1971年6月,98.70,99.63,102.07,96.92,-,-0.93%
1971年7月,95.58,99.16,101.52,95.08,-,-3.16%
1971年8月,99.03,95.58,101.51,92.81,-,3.61%
1971年9月,98.34,99.03,102.25,96.97,-,-0.70%
1971年10月,94.23,98.34,100.96,92.96,-,-4.18%
1971年11月,93.99,94.23,96.08,89.34,-,-0.25%
1971年12月,102.09,93.99,102.21,93.95,-,8.62%
1972年1月,103.94,102.09,105.00,100.87,-,1.81%
1972年2月,106.57,103.94,107.16,103.10,-,2.53%
1972年3月,107.20,106.57,109.75,105.86,-,0.59%
1972年4月,107.67,107.20,111.11,106.18,-,0.44%
1972年5月,109.53,107.67,111.48,103.83,-,1.73%
1972年6月,107.14,109.53,110.51,105.94,-,-2.18%
1972年7月,107.39,107.14,110.27,104.43,-,0.23%
1972年8月,111.09,107.39,113.45,107.06,-,3.45%
1972年9月,110.55,111.09,112.12,107.35,-,-0.49%
1972年10月,111.58,110.55,112.26,106.27,-,0.93%
1972年11月,116.67,111.58,117.91,111.32,-,4.56%
1972年12月,118.05,116.67,119.79,114.63,-,1.18%
1973年1月,116.03,118.06,121.74,114.97,-,-1.71%
1973年2月,111.68,116.03,118.98,109.80,-,-3.75%
1973年3月,111.52,111.68,115.61,107.41,-,-0.14%
1973年4月,106.97,111.52,113.65,105.44,-,-4.08%
1973年5月,104.95,106.97,112.25,101.36,-,-1.89%
1973年6月,104.26,104.95,109.52,101.45,-,-0.66%
1973年7月,108.22,104.10,111.04,100.44,-,3.80%
1973年8月,104.25,108.17,108.17,99.74,-,-3.67%
1973年9月,108.43,104.25,110.45,102.13,-,4.01%
1973年10月,108.29,108.43,112.82,107.08,-,-0.13%
1973年11月,95.96,108.29,109.20,94.88,-,-11.39%
1973年12月,97.55,95.83,99.09,91.05,-,1.66%
1974年1月,96.57,97.55,100.94,91.62,-,-1.00%
1974年2月,96.22,96.57,97.43,89.53,-,-0.36%
1974年3月,93.98,96.22,101.05,93.44,-,-2.33%
1974年4月,90.31,93.98,95.42,88.62,-,-3.91%
1974年5月,87.28,90.31,93.59,85.87,-,-3.36%
1974年6月,86.00,87.28,93.76,85.13,-,-1.47%
1974年7月,79.31,86.00,86.89,78.96,-,-7.78%
1974年8月,72.15,79.31,83.53,69.37,-,-9.03%
1974年9月,63.54,72.15,73.01,62.52,-,-11.93%
1974年10月,73.90,63.54,75.90,60.96,-,16.30%
1974年11月,69.97,73.90,77.41,66.85,-,-5.32%
1974年12月,68.56,69.80,69.80,64.13,-,-2.02%
1975年1月,76.98,68.65,78.69,68.65,-,12.28%
1975年2月,81.59,76.98,83.56,76.00,-,5.99%
1975年3月,83.36,81.59,87.08,80.08,-,2.17%
1975年4月,87.30,83.36,88.79,79.66,-,4.73%
1975年5月,91.15,87.30,93.51,86.94,-,4.41%
1975年6月,95.19,91.32,95.85,89.30,-,4.43%
1975年7月,88.75,95.19,96.58,87.68,-,-6.77%
1975年8月,86.88,88.75,89.04,82.21,-,-2.11%
1975年9月,83.87,86.88,87.42,81.57,-,-3.46%
1975年10月,89.04,83.87,91.75,82.57,-,6.16%
1975年11月,91.24,89.04,92.33,87.63,-,2.47%
1975年12月,90.19,91.24,91.90,86.15,-,-1.15%
1976年1月,100.86,100.11,101.99,89.81,-,11.83%
1976年2月,99.71,100.86,103.07,98.50,-,-1.14%
1976年3月,102.77,99.71,104.39,98.23,-,3.07%
1976年4月,101.64,102.77,104.63,99.57,-,-1.10%
1976年5月,100.18,101.64,103.99,98.26,-,-1.44%
1976年6月,104.28,100.18,105.07,97.97,-,4.09%
1976年7月,103.44,104.28,106.78,102.31,-,-0.81%
1976年8月,102.91,103.44,105.41,100.43,-,-0.51%
1976年9月,105.24,102.91,108.72,102.60,-,2.26%
1976年10月,102.90,105.24,105.75,99.21,-,-2.22%
1976年11月,102.10,102.90,103.78,98.18,-,-0.78%
1976年12月,107.46,102.10,107.82,101.62,-,5.25%
1977年1月,102.03,107.46,107.97,100.91,-,-5.05%
1977年2月,99.82,102.03,103.32,98.82,-,-2.17%
1977年3月,98.42,99.82,102.70,97.80,-,-1.40%
1977年4月,98.44,98.42,102.07,96.53,-,0.02%
1977年5月,96.12,98.44,100.93,95.52,-,-2.36%
1977年6月,100.48,96.12,101.65,95.89,-,4.54%
1977年7月,98.85,100.48,102.57,97.71,-,-1.62%
1977年8月,96.77,98.85,99.84,95.04,-,-2.10%
1977年9月,96.53,96.77,98.43,94.44,-,-0.25%
1977年10月,92.34,96.53,97.27,90.20,-,-4.34%
1977年11月,94.83,92.19,97.11,90.01,-,2.70%
1977年12月,95.10,94.83,95.67,91.76,-,0.28%
1978年1月,89.25,95.10,95.15,88.02,-,-6.15%
1978年2月,87.04,89.25,91.32,86.58,-,-2.48%
1978年3月,89.21,87.04,91.35,86.45,-,2.49%
1978年4月,96.83,89.20,97.91,88.07,-,8.54%
1978年5月,97.24,96.83,100.32,94.57,-,0.42%
1978年6月,95.53,97.24,101.84,93.99,-,-1.76%
1978年7月,100.68,95.53,101.18,93.59,-,5.39%
1978年8月,103.29,100.68,106.27,99.95,-,2.59%
1978年9月,102.54,103.29,108.05,100.66,-,-0.73%
1978年10月,93.15,102.54,106.23,91.65,-,-9.16%
1978年11月,94.70,94.13,97.41,91.77,-,1.66%
1978年12月,96.11,95.01,98.58,92.64,-,1.49%
1979年1月,99.93,96.11,102.59,95.22,-,3.97%
1979年2月,96.28,99.93,100.52,95.38,-,-3.65%
1979年3月,101.59,96.28,103.31,95.98,-,5.52%
1979年4月,101.76,101.56,103.95,100.14,-,0.17%
1979年5月,99.08,101.76,102.57,97.49,-,-2.63%
1979年6月,102.91,99.08,103.67,98.57,-,3.87%
1979年7月,103.81,102.91,105.17,100.35,-,0.87%
1979年8月,109.32,103.81,109.84,103.14,-,5.31%
1979年9月,109.32,109.32,111.58,105.38,-,0.00%
1979年10月,101.82,109.19,112.16,99.06,-,-6.86%
1979年11月,106.16,101.82,107.89,99.42,-,4.26%
1979年12月,107.94,106.16,110.33,105.07,-,1.68%
1980年1月,114.16,107.94,117.17,103.26,-,5.76%
1980年2月,113.66,114.16,120.22,111.33,-,-0.44%
1980年3月,102.09,113.66,114.34,94.23,-,-10.18%
1980年4月,106.29,102.09,106.79,98.95,-,4.11%
1980年5月,111.24,106.29,112.72,103.50,-,4.66%
1980年6月,114.24,111.24,117.98,109.77,-,2.70%
1980年7月,121.67,114.24,123.93,113.54,-,6.50%
1980年8月,122.38,121.67,127.78,119.42,-,0.58%
1980年9月,125.46,122.38,132.17,121.79,-,2.52%
1980年10月,127.47,125.46,135.88,124.66,-,1.60%
1980年11月,140.52,127.47,141.96,127.23,-,10.24%
1980年12月,135.76,140.52,140.66,125.32,-,-3.39%
1981年1月,129.55,135.76,140.32,128.57,-,-4.57%
1981年2月,131.27,129.48,132.02,124.66,-,1.33%
1981年3月,136.00,131.27,138.38,128.56,-,3.60%
1981年4月,132.81,136.00,137.72,131.58,-,-2.35%
1981年5月,132.59,132.81,134.92,128.78,-,-0.17%
1981年6月,131.21,132.59,135.67,128.77,-,-1.04%
1981年7月,130.92,130.01,131.78,125.96,-,-0.22%
1981年8月,122.79,130.92,135.18,122.29,-,-6.21%
1981年9月,116.18,122.79,124.58,110.19,-,-5.38%
1981年10月,121.89,116.18,123.28,115.00,-,4.91%
1981年11月,126.35,122.35,126.97,119.13,-,3.66%
1981年12月,122.55,126.35,127.32,121.04,-,-3.01%
1982年1月,120.40,122.55,123.72,113.63,-,-1.75%
1982年2月,113.11,119.81,119.81,110.03,-,-6.05%
1982年3月,111.96,113.11,114.80,104.46,-,-1.02%
1982年4月,116.44,111.96,119.33,111.48,-,4.00%
1982年5月,111.88,115.96,119.92,111.66,-,-3.92%
1982年6月,109.61,111.97,112.48,107.01,-,-2.03%
1982年7月,107.09,109.52,112.39,105.57,-,-2.30%
1982年8月,119.51,107.71,120.26,102.20,-,11.60%
1982年9月,120.42,119.52,126.43,117.84,-,0.76%
1982年10月,133.72,120.40,140.40,120.15,-,11.04%
1982年11月,138.53,133.72,144.36,132.89,-,3.60%
1982年12月,140.64,138.56,143.68,134.79,-,1.52%
1983年1月,145.30,140.65,148.36,138.08,-,3.31%
1983年2月,148.06,145.29,150.88,141.90,-,1.90%
1983年3月,152.96,148.07,155.02,148.07,-,3.31%
1983年4月,164.43,152.92,164.43,150.17,-,7.50%
1983年5月,162.39,164.41,166.99,160.29,-,-1.24%
1983年6月,167.64,162.38,171.60,160.80,-,3.23%
1983年7月,162.56,168.11,170.72,161.50,-,-3.03%
1983年8月,164.40,162.34,165.91,158.50,-,1.13%
1983年9月,166.07,164.40,170.41,163.95,-,1.02%
1983年10月,163.55,165.99,172.65,162.86,-,-1.52%
1983年11月,166.40,163.55,168.07,161.63,-,1.74%
1983年12月,164.93,166.37,166.77,161.58,-,-0.88%
1984年1月,163.41,164.93,169.54,162.03,-,-0.92%
1984年2月,157.06,163.41,164.00,152.13,-,-3.89%
1984年3月,159.18,157.06,160.46,153.77,-,1.35%
1984年4月,160.05,159.18,160.69,154.12,-,0.55%
1984年5月,150.55,160.05,162.11,148.68,-,-5.94%
1984年6月,153.18,150.55,155.64,148.53,-,1.75%
1984年7月,150.66,153.16,153.87,147.26,-,-1.65%
1984年8月,166.68,150.66,168.80,150.66,-,10.63%
1984年9月,166.10,166.68,169.65,163.06,-,-0.35%
1984年10月,166.09,166.10,169.62,160.02,-,-0.01%
1984年11月,163.58,166.09,170.41,162.99,-,-1.51%
1984年12月,167.24,163.58,169.03,161.54,-,2.24%
1985年1月,179.63,167.20,180.27,163.36,-,7.41%
1985年2月,181.18,179.63,183.95,177.75,-,0.86%
1985年3月,180.66,181.18,183.89,176.53,-,-0.29%
1985年4月,179.83,180.66,183.61,177.86,-,-0.46%
1985年5月,189.55,179.83,189.98,178.35,-,5.41%
1985年6月,191.85,189.55,191.85,185.03,-,1.21%
1985年7月,190.92,191.85,196.07,189.30,-,-0.48%
1985年8月,188.63,190.92,192.17,186.10,-,-1.20%
1985年9月,182.08,188.63,188.80,179.45,-,-3.47%
1985年10月,189.82,182.06,190.15,181.16,-,4.25%
1985年11月,202.17,189.82,203.40,189.37,-,6.51%
1985年12月,211.28,202.17,213.08,200.10,-,4.51%
1986年1月,211.78,211.28,214.57,202.60,-,0.24%
1986年2月,226.92,211.78,227.92,210.82,-,7.15%
1986年3月,238.90,226.92,240.11,222.18,-,5.28%
1986年4月,235.52,238.90,245.47,226.30,-,-1.41%
1986年5月,247.35,235.52,249.19,232.26,-,5.02%
1986年6月,250.84,246.04,251.81,238.23,-,1.41%
1986年7月,236.12,250.67,253.20,233.07,-,-5.87%
1986年8月,252.93,236.12,254.24,231.92,-,7.12%
1986年9月,231.32,252.93,254.13,228.08,-,-8.54%
1986年10月,243.98,231.32,244.51,231.32,-,5.47%
1986年11月,249.22,243.97,249.22,235.51,-,2.15%
1986年12月,242.17,249.22,254.87,241.28,-,-2.83%
1987年1月,274.08,242.17,280.96,242.17,-,13.18%
1987年2月,284.20,274.08,287.55,273.16,-,3.69%
1987年3月,291.70,284.17,302.72,282.30,-,2.64%
1987年4月,288.36,291.59,303.65,275.67,-,-1.15%
1987年5月,290.10,286.99,298.69,277.01,-,0.60%
1987年6月,304.00,290.12,310.27,286.93,-,4.79%
1987年7月,318.66,303.99,318.85,302.53,-,4.82%
1987年8月,329.80,318.62,337.89,314.51,-,3.50%
1987年9月,321.83,329.81,332.18,308.56,-,-2.42%
1987年10月,251.79,321.83,328.94,216.46,-,-21.76%
1987年11月,230.30,251.73,257.21,225.75,-,-8.53%
1987年12月,247.08,230.32,253.35,221.24,-,7.29%
1988年1月,257.07,247.10,261.78,240.17,-,4.04%
1988年2月,267.82,257.05,267.82,247.82,-,4.18%
1988年3月,258.89,267.82,272.64,256.07,-,-3.33%
1988年4月,261.33,258.89,272.05,254.71,-,0.94%
1988年5月,262.16,261.36,263.70,248.85,-,0.32%
1988年6月,273.50,262.16,276.88,262.10,-,4.33%
1988年7月,272.02,273.50,276.36,262.48,-,-0.54%
1988年8月,261.52,272.03,274.20,256.53,-,-3.86%
1988年9月,271.91,261.52,274.87,256.98,-,3.97%
1988年10月,278.97,271.89,283.95,268.84,-,2.60%
1988年11月,273.70,278.97,280.37,262.85,-,-1.89%
1988年12月,277.72,273.68,280.45,270.47,-,1.47%
1989年1月,297.47,277.72,297.51,273.81,-,7.11%
1989年2月,288.86,297.47,300.57,286.26,-,-2.89%
1989年3月,294.87,288.86,299.99,286.46,-,2.08%
1989年4月,309.64,294.87,310.45,294.35,-,5.01%
1989年5月,320.52,309.64,323.06,304.06,-,3.51%
1989年6月,317.98,320.51,329.19,314.38,-,-0.79%
1989年7月,346.08,317.98,346.08,317.26,-,8.84%
1989年8月,351.45,346.08,352.73,339.00,-,1.55%
1989年9月,349.15,351.45,354.13,341.37,-,-0.65%
1989年10月,340.36,349.15,360.44,327.12,-,-2.52%
1989年11月,345.99,340.36,346.50,330.91,-,1.65%
1989年12月,353.40,346.01,354.10,339.63,-,2.14%
1990年1月,329.08,353.40,360.59,319.83,-,-6.88%
1990年2月,331.89,329.08,336.09,322.10,-,0.85%
1990年3月,339.94,331.89,344.49,331.08,-,2.43%
1990年4月,330.80,339.94,347.30,327.76,-,-2.69%
1990年5月,361.23,330.80,362.26,330.80,-,9.20%
1990年6月,358.02,361.26,368.78,351.23,-,-0.89%
1990年7月,356.15,358.02,369.78,350.09,-,-0.52%
1990年8月,322.56,356.15,357.35,306.18,-,-9.43%
1990年9月,306.05,322.56,326.53,295.98,-,-5.12%
1990年10月,304.00,306.10,319.69,294.51,-,-0.67%
1990年11月,322.22,303.99,323.02,301.61,-,5.99%
1990年12月,330.22,322.23,333.98,321.97,-,2.48%
1991年1月,343.93,330.20,343.93,309.35,-,4.15%
1991年2月,367.07,343.91,370.96,340.37,-,6.73%
1991年3月,375.22,367.07,379.66,363.73,-,2.22%
1991年4月,375.34,375.22,391.26,370.27,-,0.03%
1991年5月,389.83,375.35,389.85,365.83,-,3.86%
1991年6月,371.16,389.81,389.81,367.98,-,-4.79%
1991年7月,387.81,371.18,387.81,370.92,-,4.49%
1991年8月,395.43,387.81,396.82,374.09,-,1.96%
1991年9月,387.86,395.43,397.62,382.77,-,-1.91%
1991年10月,392.45,387.86,393.81,376.11,-,1.18%
1991年11月,375.22,392.46,398.22,371.63,-,-4.39%
1991年12月,417.09,375.11,418.32,371.36,-,11.16%
1992年1月,408.78,417.03,421.18,408.64,-,-1.99%
1992年2月,412.70,408.79,418.08,406.34,-,0.96%
1992年3月,403.69,412.68,413.78,401.94,-,-2.18%
1992年4月,414.95,403.67,416.28,392.41,-,2.79%
1992年5月,415.35,414.95,418.75,409.85,-,0.10%
1992年6月,408.14,415.35,417.30,399.92,-,-1.74%
1992年7月,424.21,408.20,424.80,407.20,-,3.94%
1992年8月,414.03,424.19,425.14,408.30,-,-2.40%
1992年9月,417.80,414.03,425.27,412.71,-,0.91%
1992年10月,418.68,417.80,421.16,396.80,-,0.21%
1992年11月,431.35,418.66,431.93,415.58,-,3.03%
1992年12月,435.71,431.35,442.65,428.61,-,1.01%
1993年1月,438.78,435.70,442.66,426.88,-,0.70%
1993年2月,443.38,438.78,450.04,428.25,-,1.05%
1993年3月,451.67,443.38,456.76,441.07,-,1.87%
1993年4月,440.19,451.67,452.63,432.30,-,-2.54%
1993年5月,450.19,440.19,454.55,436.86,-,2.27%
1993年6月,450.53,450.23,455.63,442.50,-,0.08%
1993年7月,448.13,450.54,451.15,441.40,-,-0.53%
1993年8月,463.56,448.13,463.56,446.94,-,3.44%
1993年9月,458.93,463.55,463.80,449.64,-,-1.00%
1993年10月,467.83,458.93,471.10,456.40,-,1.94%
1993年11月,461.79,467.83,469.11,454.36,-,-1.29%
1993年12月,466.45,461.93,471.29,461.45,-,1.01%
1994年1月,481.61,466.51,482.85,464.36,-,3.25%
1994年2月,467.14,481.60,482.23,464.26,-,-3.00%
1994年3月,445.77,467.19,471.09,436.16,-,-4.57%
1994年4月,450.91,445.66,452.79,435.86,-,1.15%
1994年5月,456.50,450.91,457.77,440.78,-,1.24%
1994年6月,444.27,456.50,463.23,439.83,-,-2.68%
1994年7月,458.26,444.27,459.33,443.58,-,3.15%
1994年8月,475.49,458.28,477.59,456.08,-,3.76%
1994年9月,462.71,475.49,475.49,458.47,-,-2.69%
1994年10月,472.35,462.69,474.74,449.27,-,2.08%
1994年11月,453.69,472.26,472.26,444.18,-,-3.95%
1994年12月,459.27,453.55,462.73,442.88,-,1.23%
1995年1月,470.42,459.21,471.36,457.20,-,2.43%
1995年2月,487.39,470.42,489.19,469.29,-,3.61%
1995年3月,500.71,487.39,508.15,479.70,-,2.73%
1995年4月,514.71,500.70,515.29,500.20,-,2.80%
1995年5月,533.40,514.76,533.41,513.03,-,3.63%
1995年6月,544.75,533.40,551.07,526.00,-,2.13%
1995年7月,562.06,544.75,565.40,542.51,-,3.18%
1995年8月,561.88,562.06,565.62,553.04,-,-0.03%
1995年9月,584.41,561.88,587.61,561.01,-,4.01%
1995年10月,581.50,584.41,590.66,571.55,-,-0.50%
1995年11月,605.37,581.50,608.69,581.04,-,4.10%
1995年12月,615.93,605.37,622.88,605.05,-,1.74%
1996年1月,636.02,615.93,636.18,597.29,-,3.26%
1996年2月,640.43,636.02,664.23,633.71,-,0.69%
1996年3月,645.50,640.43,656.97,627.63,-,0.79%
1996年4月,654.17,645.50,656.68,624.14,-,1.34%
1996年5月,669.12,654.17,681.10,630.07,-,2.29%
1996年6月,670.63,669.12,680.32,658.75,-,0.23%
1996年7月,639.95,670.63,675.88,605.88,-,-4.57%
1996年8月,651.99,639.95,670.68,639.49,-,1.88%
1996年9月,687.33,651.99,690.88,643.97,-,5.42%
1996年10月,705.27,687.31,714.10,684.44,-,2.61%
1996年11月,757.02,705.27,762.12,701.30,-,7.34%
1996年12月,740.74,757.02,761.75,716.69,-,-2.15%
1997年1月,786.16,740.74,794.67,729.55,-,6.13%
1997年2月,790.82,786.16,817.68,773.43,-,0.59%
1997年3月,757.12,790.82,814.90,756.13,-,-4.26%
1997年4月,801.34,757.12,804.13,733.54,-,5.84%
1997年5月,848.28,801.34,851.87,793.21,-,5.86%
1997年6月,885.14,848.28,902.09,838.82,-,4.35%
1997年7月,954.31,885.14,957.73,884.54,-,7.81%
1997年8月,899.47,954.29,964.17,893.34,-,-5.75%
1997年9月,947.28,899.47,960.59,899.47,-,5.32%
1997年10月,914.62,947.28,983.12,855.27,-,-3.45%
1997年11月,955.40,914.62,964.55,900.61,-,4.46%
1997年12月,970.43,955.40,986.25,924.92,-,1.57%
1998年1月,980.28,970.43,992.65,912.83,-,1.02%
1998年2月,"1,049.34",980.28,"1,051.66",980.28,-,7.04%
1998年3月,"1,101.75","1,049.34","1,113.07","1,030.87",-,4.99%
1998年4月,"1,111.75","1,101.75","1,132.98","1,076.70",-,0.91%
1998年5月,"1,090.82","1,111.75","1,130.52","1,074.39",-,-1.88%
1998年6月,"1,133.84","1,090.82","1,145.15","1,074.67",-,3.94%
1998年7月,"1,120.67","1,133.84","1,190.58","1,114.30",-,-1.16%
1998年8月,957.28,"1,120.67","1,121.79",957.28,-,-14.58%
1998年9月,"1,017.01",957.28,"1,066.11",939.98,-,6.24%
1998年10月,"1,098.67","1,017.01","1,103.78",923.32,-,8.03%
1998年11月,"1,163.63","1,098.67","1,192.97","1,098.67",-,5.91%
1998年12月,"1,229.23","1,163.63","1,244.93","1,136.89",-,5.64%
1999年1月,"1,279.64","1,229.23","1,280.37","1,205.46",-,4.10%
1999年2月,"1,238.33","1,279.64","1,283.84","1,211.89",-,-3.23%
1999年3月,"1,286.37","1,238.33","1,323.82","1,216.03",-,3.88%
1999年4月,"1,335.18","1,286.37","1,371.56","1,282.56",-,3.79%
1999年5月,"1,301.84","1,335.18","1,375.98","1,277.31",-,-2.50%
1999年6月,"1,372.71","1,301.84","1,372.93","1,277.47",-,5.44%
1999年7月,"1,328.72","1,372.71","1,420.33","1,328.49",-,-3.20%
1999年8月,"1,320.41","1,328.72","1,382.84","1,267.73",-,-0.63%
1999年9月,"1,282.71","1,320.41","1,361.39","1,256.26",-,-2.86%
1999年10月,"1,362.93","1,282.71","1,373.17","1,233.70",-,6.25%
1999年11月,"1,388.91","1,362.93","1,425.31","1,346.41",-,1.91%
1999年12月,"1,469.25","1,388.91","1,473.10","1,387.38",-,5.78%
2000年1月,"1,394.46","1,469.25","1,478.00","1,350.14",-,-5.09%
2000年2月,"1,366.42","1,394.46","1,444.55","1,325.07",-,-2.01%
2000年3月,"1,498.58","1,366.42","1,552.87","1,346.62",-,9.67%
2000年4月,"1,452.43","1,498.58","1,527.19","1,339.40",-,-3.08%
2000年5月,"1,420.60","1,452.43","1,481.51","1,361.09",-,-2.19%
2000年6月,"1,454.60","1,420.60","1,488.93","1,420.60",-,2.39%
2000年7月,"1,430.83","1,454.60","1,517.32","1,413.89",-,-1.63%
2000年8月,"1,517.68","1,430.83","1,525.21","1,425.43",-,6.07%
2000年9月,"1,436.51","1,517.68","1,530.09","1,419.44",-,-5.35%
2000年10月,"1,429.40","1,436.52","1,454.82","1,305.79",-,-0.49%
2000年11月,"1,314.95","1,429.40","1,438.46","1,294.90",-,-8.01%
2000年12月,"1,320.28","1,314.95","1,389.05","1,254.07",-,0.41%
2001年1月,"1,366.01","1,320.28","1,383.37","1,274.62",-,3.46%
2001年2月,"1,239.94","1,366.01","1,376.38","1,215.44",-,-9.23%
2001年3月,"1,160.33","1,239.94","1,267.42","1,081.19",-,-6.42%
2001年4月,"1,249.46","1,160.33","1,269.30","1,091.99",-,7.68%
2001年5月,"1,255.82","1,249.46","1,315.93","1,232.00",-,0.51%
2001年6月,"1,224.38","1,255.82","1,286.62","1,203.03",-,-2.50%
2001年7月,"1,211.23","1,224.42","1,239.78","1,165.54",-,-1.07%
2001年8月,"1,133.58","1,211.23","1,226.27","1,124.87",-,-6.41%
2001年9月,"1,040.94","1,133.58","1,155.40",944.75,-,-8.17%
2001年10月,"1,059.78","1,040.94","1,110.61","1,026.76",-,1.81%
2001年11月,"1,139.45","1,059.78","1,163.38","1,054.31",-,7.52%
2001年12月,"1,148.08","1,139.45","1,173.62","1,114.53",-,0.76%
2002年1月,"1,130.20","1,148.08","1,176.97","1,081.66",-,-1.56%
2002年2月,"1,106.73","1,130.20","1,130.20","1,074.36",-,-2.08%
2002年3月,"1,147.39","1,106.73","1,173.94","1,106.73",-,3.67%
2002年4月,"1,076.92","1,147.39","1,147.84","1,063.46",-,-6.14%
2002年5月,"1,067.14","1,076.92","1,106.59","1,048.96",-,-0.91%
2002年6月,989.82,"1,067.14","1,070.74",952.92,-,-7.25%
2002年7月,911.62,989.82,994.46,775.68,-,-7.90%
2002年8月,916.07,911.62,965.00,833.44,-,0.49%
2002年9月,815.28,916.07,924.02,800.20,-,-11.00%
2002年10月,885.76,815.28,907.44,768.63,-,8.64%
2002年11月,936.31,885.76,941.82,872.05,-,5.71%
2002年12月,879.82,936.31,954.28,869.45,-,-6.03%
2003年1月,855.70,879.82,935.05,840.34,-,-2.74%
2003年2月,841.15,855.70,864.64,806.29,-,-1.70%
2003年3月,848.18,841.15,895.90,788.90,-,0.84%
2003年4月,916.92,848.18,924.24,847.85,-,8.10%
2003年5月,963.59,916.92,965.38,902.83,-,5.09%
2003年6月,974.50,963.59,"1,015.33",963.59,-,1.13%
2003年7月,993.32,974.50,"1,015.41",962.10,-,1.93%
2003年8月,"1,008.01",990.31,"1,011.01",960.84,-,1.48%
2003年9月,995.97,"1,008.01","1,040.29",990.36,-,-1.19%
2003年10月,"1,050.71",995.97,"1,053.79",995.97,-,5.50%
2003年11月,"1,058.20","1,050.71","1,063.65","1,031.20",-,0.71%
2003年12月,"1,111.92","1,058.20","1,112.56","1,053.41",-,5.08%
2004年1月,"1,131.13","1,111.92","1,155.38","1,105.08",-,1.73%
2004年2月,"1,144.94","1,131.13","1,158.98","1,124.44",-,1.22%
2004年3月,"1,126.21","1,144.94","1,163.23","1,087.06",-,-1.64%
2004年4月,"1,107.30","1,126.21","1,150.57","1,107.23",-,-1.68%
2004年5月,"1,120.68","1,107.30","1,127.74","1,076.32",-,1.21%
2004年6月,"1,140.84","1,120.68","1,146.34","1,113.32",-,1.80%
2004年7月,"1,101.72","1,140.84","1,140.84","1,078.78",-,-3.43%
2004年8月,"1,104.24","1,101.72","1,109.68","1,060.72",-,0.23%
2004年9月,"1,114.58","1,104.24","1,131.54","1,099.11",-,0.94%
2004年10月,"1,130.20","1,114.58","1,142.05","1,090.19",-,1.40%
2004年11月,"1,173.82","1,130.20","1,188.46","1,127.53",-,3.86%
2004年12月,"1,211.92","1,173.78","1,217.33","1,173.76",-,3.25%
2005年1月,"1,181.27","1,211.92","1,217.90","1,163.75",-,-2.53%
2005年2月,"1,203.60","1,181.27","1,212.44","1,180.95",-,1.89%
2005年3月,"1,180.59","1,203.60","1,229.11","1,163.69",-,-1.91%
2005年4月,"1,156.85","1,180.59","1,191.88","1,136.15",-,-2.01%
2005年5月,"1,191.50","1,156.85","1,199.56","1,146.18",-,3.00%
