Date,Close,Open,High,Low,Volume,Change
1995年2月,"1,159.78","1,149.69","1,255.52","1,136.09",-,-0.43%
1995年3月,"1,210.10","1,161.28","1,283.43","1,161.28",-,4.34%
1995年4月,"1,088.23","1,230.97","1,271.67","1,018.54",-,-10.07%
1995年5月,"1,128.86","1,085.94","1,473.30","1,026.62",-,3.73%
1995年6月,"1,051.86","1,128.77","1,144.30","1,028.11",-,-6.82%
1995年7月,"1,083.06","1,046.13","1,108.26","1,024.21",-,2.97%
1995年8月,"1,171.82","1,083.24","1,327.98","1,073.68",-,8.20%
1995年9月,"1,164.97","1,179.33","1,220.04","1,135.25",-,-0.58%
1995年10月,"1,153.73","1,167.52","1,249.50","1,107.96",-,-0.96%
1995年11月,"1,086.19","1,155.67","1,172.77","1,076.66",-,-5.85%
1995年12月,987.75,"1,079.24","1,092.96",980.25,-,-9.06%
1996年1月,958.71,987.08,990.17,924.34,-,-2.94%
1996年2月,"1,011.24",958.49,"1,011.62",936.22,-,5.48%
1996年3月,"1,015.02","1,046.89","1,073.32",997.90,-,0.37%
1996年4月,"1,525.55","1,029.86","1,627.25","1,007.21",-,50.30%
1996年5月,"1,736.74","1,607.27","1,802.41","1,436.94",-,13.84%
1996年6月,"2,059.13","1,758.06","2,164.60","1,729.39",-,18.56%
1996年7月,"2,587.81","2,008.82","2,727.19","1,928.39",-,25.67%
1996年8月,"2,711.94","2,583.15","2,781.02","2,422.01",-,4.80%
1996年9月,"2,764.04","2,720.72","2,855.01","2,469.61",-,1.92%
1996年10月,"3,591.39","2,806.48","3,651.74","2,764.11",-,29.93%
1996年11月,"4,078.43","3,545.78","4,201.31","3,344.34",-,13.56%
1996年12月,"3,215.83","4,126.91","4,522.39","2,792.71",-,-21.15%
1997年1月,"3,693.69","3,195.52","3,727.10","2,985.40",-,14.86%
1997年2月,"3,769.47","3,641.85","3,811.15","3,206.75",-,2.05%
1997年3月,"4,543.00","3,788.13","4,569.28","3,757.53",-,20.52%
1997年4月,"5,210.74","4,564.54","5,211.70","4,466.66",-,14.70%
1997年5月,"4,844.20","5,269.21","6,103.62","4,632.86",-,-7.03%
1997年6月,"5,081.45","4,927.55","5,285.41","4,339.90",-,4.90%
1997年7月,"4,533.62","5,104.79","5,149.29","4,124.99",-,-10.78%
1997年8月,"4,398.73","4,541.73","4,578.42","4,090.72",-,-2.98%
1997年9月,"3,916.96","4,375.84","4,538.92","3,661.40",-,-10.95%
1997年10月,"4,523.32","3,963.62","4,755.26","3,853.90",-,15.48%
1997年11月,"4,268.49","4,540.24","4,724.79","4,131.77",-,-5.63%
1997年12月,"4,184.84","4,250.14","4,323.97","4,073.10",-,-1.96%
1998年1月,"4,165.28","4,199.51","4,336.32","3,841.74",-,-0.47%
1998年2月,"4,081.69","4,265.35","4,297.17","4,005.78",-,-2.01%
1998年3月,"4,063.29","4,054.06","4,116.75","3,817.12",-,-0.45%
1998年4月,"4,180.95","4,060.85","4,317.85","4,040.87",-,2.90%
