Date,Close,Open,High,Low,Volume,Change
1998年11月,"1,454.10","1,510.50","1,526.80","1,440.20",-,-2.68%
1998年12月,"1,413.10","1,468.50","1,468.50","1,326.60",-,-2.82%
1999年1月,"1,416.64","1,431.10","1,453.60","1,416.64",-,0.25%
1999年2月,"1,323.20","1,399.37","1,416.13","1,323.20",-,-6.60%
1999年3月,"1,455.59","1,315.12","1,455.59","1,313.58",-,10.01%
1999年4月,"1,486.03","1,517.09","1,535.31","1,464.83",-,2.09%
1999年5月,"1,430.07","1,484.29","1,484.29","1,430.07",-,-3.77%
1999年6月,"1,470.46","1,420.08","1,470.46","1,410.10",-,2.82%
1999年7月,"1,535.57","1,474.73","1,535.57","1,474.73",-,4.43%
1999年8月,"1,655.56","1,555.21","1,681.32","1,555.21",-,7.81%
1999年9月,"1,676.43","1,658.56","1,679.85","1,634.54",-,1.26%
1999年10月,"1,698.82","1,686.08","1,703.56","1,657.70",-,1.34%
1999年11月,"1,925.66","1,710.73","1,978.20","1,710.73",-,13.35%
1999年12月,"2,028.63","1,896.38","2,028.63","1,896.38",-,5.35%
2000年1月,"1,954.52","2,051.30","2,105.11","1,954.52",-,-3.65%
2000年2月,"2,013.86","1,990.40","2,058.36","1,963.04",-,3.04%
2000年3月,"1,988.14","2,012.14","2,022.13","1,988.14",-,-1.28%
2000年4月,"2,032.11","1,987.57","2,046.07","1,948.06",-,2.21%
2000年5月,"2,014.78","2,018.47","2,052.64","2,014.78",-,-0.85%
2000年6月,"2,079.50","2,015.18","2,079.50","2,012.55",-,3.21%
2000年7月,"2,168.33","2,080.70","2,177.82","2,080.70",-,4.27%
2000年8月,"2,355.83","2,167.96","2,392.83","2,164.00",-,8.65%
2000年9月,"2,361.75","2,326.05","2,363.67","2,322.07",-,0.25%
2000年10月,"2,314.27","2,369.70","2,369.70","2,306.30",-,-2.01%
2000年11月,"2,270.99","2,315.29","2,348.74","2,270.99",-,-1.87%
2000年12月,"2,258.29","2,274.76","2,285.92","2,155.37",-,-0.56%
2001年1月,"2,270.09","2,267.59","2,339.07","2,256.73",-,0.52%
2001年2月,"2,253.38","2,263.62","2,271.21","2,222.19",-,-0.74%
2001年3月,"2,259.61","2,261.85","2,296.17","2,239.37",-,0.28%
2001年4月,"2,265.04","2,244.81","2,275.38","2,226.10",-,0.24%
2001年5月,"2,352.51","2,266.21","2,382.29","2,264.85",-,3.86%
2001年6月,"2,439.56","2,349.41","2,440.64","2,349.22",-,3.70%
2001年7月,"2,479.56","2,438.49","2,479.56","2,393.95",-,1.64%
2001年8月,"2,605.04","2,492.30","2,605.04","2,434.81",-,5.06%
2001年9月,"2,311.44","2,613.08","2,613.08","2,299.31",-,-11.27%
2001年10月,"2,378.13","2,311.26","2,397.04","2,206.33",-,2.89%
2001年11月,"2,360.28","2,356.79","2,414.78","2,325.78",-,-0.75%
2001年12月,"2,430.11","2,360.28","2,440.77","2,317.31",-,2.96%
2002年1月,"2,456.15","2,430.11","2,470.62","2,422.87",-,1.07%
2002年2月,"2,446.82","2,456.15","2,462.11","2,405.80",-,-0.38%
2002年3月,"2,512.76","2,463.16","2,604.71","2,427.75",-,2.69%
2002年4月,"2,899.69","2,512.76","2,900.32","2,483.66",-,15.40%
2002年5月,"2,890.30","2,899.69","2,942.29","2,815.03",-,-0.32%
2002年6月,"2,762.02","2,890.30","2,890.30","2,707.02",-,-4.44%
2002年7月,"2,708.31","2,762.02","2,804.34","2,662.15",-,-1.94%
2002年8月,"2,666.66","2,708.31","2,712.55","2,627.28",-,-1.54%
2002年9月,"2,654.54","2,666.66","2,687.83","2,621.94",-,-0.45%
2002年10月,"2,590.52","2,654.54","2,679.91","2,567.35",-,-2.41%
2002年11月,"2,441.14","2,590.88","2,594.02","2,360.57",-,-5.77%
2002年12月,"2,518.08","2,422.70","2,528.00","2,402.79",-,3.15%
